"id";"nama";"id_kota";"created_at";"updated_at"
"1";"BANDAR BARU";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2";"TEUPAH TENGAH";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"3";"JULI";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"4";"MADAT";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"5";"JANGKA";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"6";"LHOKSUKON";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"7";"SAWANG";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"8";"JEUMPA";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"9";"PIDIE";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"10";"BANDAR DUA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"11";"TANGAN-TANGAN";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"12";"PADANG TIJI";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"13";"BIREM BAYEUN";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"14";"BLANG KEJEREN";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"15";"PANTAN CUACA";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"16";"TAPAK TUAN";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"17";"SIMEULEU TIMUR";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"18";"SERUWAY";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"19";"SAMA DUA";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"20";"INGIN JAYA";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"21";"PEUKAN BADA";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"22";"BLANG PEGAYON";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"23";"LEUSER";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"24";"BLANG JERANGO";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"25";"KLUET TIMUR";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"26";"GAJAH PUTIH";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"27";"BABUSSALAM";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"28";"BABUL RAHMAH";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"29";"SYAMTALIRA BAYU";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"30";"SALANG";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"31";"TANAH PASIR";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"32";"KEUDE PANGA";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"33";"MUTIARA TIMUR";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"34";"TEUNOM";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"35";"BAKTIYA";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"36";"GEUREDONG PASE";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"37";"MUARA DUA";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"38";"SIMPANG KRAMAT (KERAMAT)";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"39";"ARONGAN LAMBALEK";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"40";"BUBON";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"41";"SAMALANGA";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"42";"MEUKEK";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"43";"SEUNUDDON (SEUNUDON)";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"44";"TADU RAYA";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"45";"PEUDAWA";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"46";"RANTO PEUREULAK";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"47";"DARUL MAKMUR";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"48";"LANGSA KOTA";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"49";"PAYA BAKONG";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"50";"NISAM";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"51";"WOYLA TIMUR";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"52";"WOYLA";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"53";"PEUREULAK TIMUR";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"54";"PEUREULAK BARAT";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"55";"SIMPANG ULIM";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"56";"SEUNAGAN";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"57";"NIBONG";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"58";"PIRAK TIMUR";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
