"id";"nama";"id_provinsi";"created_at";"updated_at"
"1";"PIDIE JAYA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2";"SIMEULUE";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"3";"BIREUEN";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"4";"ACEH TIMUR";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"5";"ACEH UTARA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"6";"PIDIE";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"7";"ACEH BARAT DAYA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"8";"GAYO LUES";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"9";"ACEH SELATAN";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"10";"ACEH TAMIANG";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"11";"ACEH BESAR";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"12";"ACEH TENGGARA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"13";"BENER MERIAH";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"14";"ACEH JAYA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"15";"LHOKSEUMAWE";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"16";"ACEH BARAT";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"17";"NAGAN RAYA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"18";"LANGSA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"19";"BANDA ACEH";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"20";"ACEH SINGKIL";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"21";"SABANG";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"22";"ACEH TENGAH";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"23";"SUBULUSSALAM";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"24";"NIAS SELATAN";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"25";"MANDAILING NATAL";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"26";"DAIRI";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"27";"LABUHAN BATU UTARA";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"28";"TAPANULI UTARA";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"29";"SIMALUNGUN";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"30";"LANGKAT";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"31";"SERDANG BEDAGAI";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"32";"TAPANULI SELATAN";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"33";"ASAHAN";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"34";"PADANG LAWAS UTARA";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"35";"PADANG LAWAS";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"36";"LABUHAN BATU SELATAN";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"37";"PADANG SIDEMPUAN";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"38";"TOBA SAMOSIR";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"39";"TAPANULI TENGAH";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"40";"HUMBANG HASUNDUTAN";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"41";"SIBOLGA";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"42";"BATU BARA";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"43";"SAMOSIR";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"44";"PEMATANG SIANTAR";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"45";"LABUHAN BATU";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"46";"DELI SERDANG";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"47";"GUNUNGSITOLI";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"48";"NIAS UTARA";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"49";"NIAS";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"50";"KARO";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"51";"NIAS BARAT";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"52";"MEDAN";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"53";"PAKPAK BHARAT";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"54";"TEBING TINGGI";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"55";"BINJAI";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"56";"TANJUNG BALAI";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"57";"DHARMASRAYA";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"58";"SOLOK SELATAN";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"59";"SIJUNJUNG (SAWAH LUNTO SIJUNJUNG)";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"60";"PASAMAN BARAT";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"61";"SOLOK";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"62";"PASAMAN";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"63";"PARIAMAN";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"64";"TANAH DATAR";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"65";"PADANG PARIAMAN";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"66";"PESISIR SELATAN";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"67";"PADANG";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"68";"SAWAH LUNTO";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"69";"LIMA PULUH KOTO / KOTA";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"70";"AGAM";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"71";"PAYAKUMBUH";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"72";"BUKITTINGGI";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"73";"PADANG PANJANG";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"74";"KEPULAUAN MENTAWAI";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"75";"INDRAGIRI HILIR";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"76";"KUANTAN SINGINGI";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"77";"PELALAWAN";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"78";"PEKANBARU";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"79";"ROKAN HILIR";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"80";"BENGKALIS";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"81";"INDRAGIRI HULU";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"82";"ROKAN HULU";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"83";"KAMPAR";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"84";"KEPULAUAN MERANTI";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"85";"DUMAI";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"86";"SIAK";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"87";"TEBO";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"88";"TANJUNG JABUNG BARAT";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"89";"MUARO JAMBI";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"90";"KERINCI";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"91";"MERANGIN";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"92";"BUNGO";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"93";"TANJUNG JABUNG TIMUR";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"94";"SUNGAIPENUH";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"95";"BATANG HARI";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"96";"JAMBI";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"97";"SAROLANGUN";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"98";"PALEMBANG";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"99";"LAHAT";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"100";"OGAN KOMERING ULU TIMUR";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
